Serial_No,Province,District,AGRO_ECO_R,CLIMATIC_Z,AGRO_ECO_Z,TERRAIN,MAJOR_SOIL,AnualRFmm,GPS_location,X,Y,Season,Rice_variety,Date_of_maturity,Age_DAS,"Stage of maturity (Seedling - 0 to 21 days after sowing (DAS), Vegetative Stage:22 to 59 days after sowing (DAS), Reproductive Stage:60 to 95 days after sowing (DAS), Ripening Stage:96 days after sowing (DAS) to 105",Prediction_on suseptibility of rice variety,Soil_Type,Rice_ecosystem,Irrigation,Topography,Flooded (Y/N),Method_of_planting,Is_the farmer_aware_of_Mg_before,total_gall_count,infected_plant_count,total_plants,Disease_Incidence,Disease_Severity
11,Uva,Moneragala,IL1c,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RBL, RBE, LHG, & IBL soils",1300,"6.7180282, 81.2484995",81.2484995,6.7180282,Maha,Bg 94/1,105,70,Reproductive,Suseptible,Clay,Irrigated,Major irrigation,Flat land,No,Direct seeded,No,0,0,30,0,0
12,North Western,Kurunegala,IL1a,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"7.5173440, 79.9992930",79.999293,7.517344,Maha,NA,NA,67,Reproductive,NA,Clay,Irrigated,Koshena wewa,Flat land,Yes,Direct seeded,No,189,18,30,60,6.3
13,North Western,Kurunegala,IL1a,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"7.5128070, 79.9945950",79.994595,7.512807,Maha,MD 270,NA,12,Seedling,NA,Clay,Irrigated,Dunkanamulla wewa,Flat land,Yes,Direct seeded,No,127,7,30,23.33333333,4.233333333
14,Uva,Moneragala,IL1c,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RBL, RBE, LHG, & IBL soils",1300,"7.1169580, 81.2111520",81.211152,7.116958,Maha,Bg 379-2,132,58,Vegetative,Unconfirmed,Sand mixed clay,Irrigated,Minor irrigation,Flat land,No,Direct seeded,Yes,8,5,30,16.66666667,0.266666667
15,Uva,Moneragala,IL1c,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RBL, RBE, LHG, & IBL soils",1300,"7.1215668, 81.2171150",81.217115,7.1215668,Maha,Bg 450,125,30,Vegetative,Unconfirmed,Clay,Irrigated,Minor irrigation,Gentle slope,No,Direct seeded,Yes,3,1,30,3.333333333,0.1
16,North Central,Anuradhapura,DL1b,DRY ZONE,LOW COUNTRY,Undulating,Reddish Brown Earth & Low Humic Gley Soils,900,"8.5473940, 80.2541940",80.254194,8.547394,Maha,Bg 357,105,105,Ripening,Unconfirmed,Sand mixed clay,Irrigated,Major irrigation,Flat land,No,Direct seeded,Yes,35,13,30,43.33333333,1.166666667
17,Western,Colombo,WL1b,WET ZONE,LOW COUNTRY,Undulating & rolling,Red Yellow Podzolic & Low Humic Gley Soils,2800,"6.8154630, 80.0414140",80.041414,6.815463,Maha,Rathkanda,NA,78,Reproductive,Unconfirmed,Clay,Rainfed lowland,Rainfed,Gentle slope,No,Direct seeded,No,8,3,30,10,0.266666667
18,Southern,Hambantota,IL1b,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RYP, RBL, RBE, LHG & Regosol soils",1100,"6.1688773, 80.7454867",80.7454867,6.1688773,Maha,At 362,110,54,Vegetative,Suseptible,Sand mixed clay,Irrigated,Major irrigation,Flat land,No,Direct seeded,No,697,29,30,96.66666667,23.23333333
19,North Western,Kurunegala,IL1a,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"7.5107920, 79.9900260",79.990026,7.510792,Maha/Yala,Bg 352,105,55,Vegetative,Suseptible,Clay,Rainfed lowland,Rainfed,Flat land,Yes,Replanting,No,60,11,30,36.66666667,2
20,Southern,Hambantota,IL1b,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RYP, RBL, RBE, LHG & Regosol soils",1100,"6.0930510, 80.7729430",80.772943,6.093051,Maha,At 362,110,60,Reproductive,Suseptible,Clay,Irrigated,Major irrigation,Terraces,No,Direct seeded,No,256,25,30,83.33333333,8.533333333
21,North Central,Anuradhapura,DL1b,DRY ZONE,LOW COUNTRY,Undulating,Reddish Brown Earth & Low Humic Gley Soils,900,"8.1945360, 80.3734470",80.373447,8.194536,Maha,Bg 450,125,75,Reproductive,Unconfirmed,Clay,Irrigated,Major irrigation,Flat land,No,Direct seeded,No,1346,28,30,93.33333333,44.86666667
22,Southern,Matara,WM1a,WET ZONE,MID COUNTRY,"Mountanious, steeply dissected, hilly & rolling",Red Yellow Podzolic soils with semi prominent A1 horizon & Lithosol soill,3300,"6.3464640, 80.4988626",80.4988626,6.346464,Maha,At 362,110,90,Reproductive,Suseptible,Clay,Rainfed lowland,Rainfed,Gentle slope,No,Direct seeded,Yes,392,29,30,96.66666667,13.06666667
22.1,Sabaragamuwa,Ratnapura,WL1a,WET ZONE,LOW COUNTRY,"Rolling, undulating & hilly","Red Yellow Podzolic, Red Yellow Podzolic with semi prominent A1 horizon & Low Humic Gley soils",3200,"
6.742031, 80.224686",80.224686,6.742031,Yala/Maha,Bg 94/1,105,105,Ripening,Suseptible,Clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,NA,186,23,30,76.66666667,6.2
23,Uva,Badulla,IM1c,INTERMEDIATE ZONE,MID COUNTRY,"very steep, hilly & Rolling","RBL, IBL,Mountain Regosol & Lithosol soils",1300,"7.0794670, 81.0087850",81.008785,7.079467,Maha,At 362,110,105,Ripening,Suseptible,Sand mixed clay,Irrigated,Minor irrigation,Terraces,No,Direct seeded,No,220,22,30,73.33333333,7.333333333
24,North Western,Kurunegala,WM3b,WET ZONE,MID COUNTRY,"Hilly, Rolling,undulating & steep","Reddish Brown Latosolic, Immature Brown Loam, Low Humic Gley soils",1400,"7.4943210, 80.4702920",80.470292,7.494321,Maha,Bg 379-2,120,90,Reproductive,Unconfirmed,Clay,Irrigated,Major irrigation,Flat land,No,Direct seeded,No,256,25,30,83.33333333,8.533333333
25,Southern,Hambantota,DL5,DRY ZONE,LOW COUNTRY,Undulating & flat,"RBE with high ammount od grawel in sub- soil, LHG & Solodized - solonets soils",650,"6.1278909, 81.0132926",81.0132926,6.1278909,Maha,At 362,110,60,Reproductive,Suseptible,Sand mixed clay,Irrigated,Major irrigation,Gentle slope,No,Direct seeded,No,692,30,30,100,23.06666667
26,Southern,Hambantota,DL5,DRY ZONE,LOW COUNTRY,Undulating & flat,"RBE with high ammount od grawel in sub- soil, LHG & Solodized - solonets soils",650,"6.1415522, 81.0005065",81.0005065,6.1415522,Maha,At 362,110,60,Reproductive,Suseptible,Sand mixed clay,Irrigated,Major irrigation,Gentle slope,No,Direct seeded,Yes,230,28,30,93.33333333,7.666666667
27,Southern,Hambantota,DL5,DRY ZONE,LOW COUNTRY,Undulating & flat,"RBE with high ammount od grawel in sub- soil, LHG & Solodized - solonets soils",650,"6.1415302, 80.9995623",80.9995623,6.1415302,Maha,At 362,110,60,Reproductive,Suseptible,Sand mixed clay,Irrigated,Major irrigation,Gentle slope,No,Direct seeded,Yes,1424,30,30,100,47.46666667
28,Sabaragamuwa,Ratnapura,DL1b,DRY ZONE,LOW COUNTRY,Undulating,Reddish Brown Earth & Low Humic Gley Soils,900,"6.2401358, 80.9181362",80.9181362,6.2401358,Maha,At 362,110,60,Reproductive,Suseptible,Sand mixed clay,Irrigated,Minor irrigation,Gentle slope,No,Direct seeded,Yes,86,14,30,46.66666667,2.866666667
29,Sabaragamuwa,Ratnapura,DL1b,DRY ZONE,LOW COUNTRY,Undulating,Reddish Brown Earth & Low Humic Gley Soils,900,"6.2498348, 80.9160316",80.9160316,6.2498348,Maha,At 362,110,60,Reproductive,Suseptible,Sand mixed clay,Irrigated,Major irrigation,Terraces,No,Direct seeded,No,393,30,30,100,13.1
30,Sabaragamuwa,Ratnapura,DL1b,DRY ZONE,LOW COUNTRY,Undulating,Reddish Brown Earth & Low Humic Gley Soils,900,"6.2818567, 80.8988923",80.8988923,6.2818567,Maha,At 362,110,75,Reproductive,Suseptible,Sand mixed clay,Irrigated,Major irrigation,Gentle slope,No,Direct seeded,Yes,0,0,30,0,0
31,Western,Kalutara,WL1b,WET ZONE,LOW COUNTRY,Undulating & rolling,Red Yellow Podzolic & Low Humic Gley Soils,2800,"6.5993122, 80.0290318",80.0290318,6.5993122,Maha,Bg 366,100,60,Reproductive,Suseptible,Clay,Rainfed lowland,Rainfed,Flat land,Yes,Direct seeded,Yes,48,14,30,46.66666667,1.6
32,Western,Kalutara,WL1b,WET ZONE,LOW COUNTRY,Undulating & rolling,Red Yellow Podzolic & Low Humic Gley Soils,2800,"6.5983134, 80.0269464",80.0269464,6.5983134,Maha,Bg 358,105,75,Reproductive,Unconfirmed,Sand mixed clay,Rainfed lowland,Rainfed,Flat land,Yes,Direct seeded,No,24,11,30,36.66666667,0.8
32.1,Central,Kandy,WM3b,WET ZONE,MID COUNTRY,"Hilly, Rolling,undulating & steep","Reddish Brown Latosolic, Immature Brown Loam, Low Humic Gley soils",1400,"7.3344432, 80.5776951",80.5776951,7.3344432,Yala/Maha,Suwadel,105,60,Reproductive,Unconfirmed,Clay,Rainfed Midland,Rainfed,Gentle slope,Yes,Replanting,No,0,0,30,0,0
33,Western,Kalutara,WL1b,WET ZONE,LOW COUNTRY,Undulating & rolling,Red Yellow Podzolic & Low Humic Gley Soils,2800,"6.5737786, 80.0198111",80.0198111,6.5737786,Maha,Bw 367,105,70,Reproductive,Unconfirmed,Clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,Yes,54,19,30,63.33333333,1.8
34,Western,Kalutara,WL1b,WET ZONE,LOW COUNTRY,Undulating & rolling,Red Yellow Podzolic & Low Humic Gley Soils,2800,"6.5073746, 80.0612006",80.0612006,6.5073746,Maha,Ld 368,102,92,Reproductive,Unconfirmed,Clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,NA,1,1,30,3.333333333,0.033333333
35,Western,Kalutara,WL1b,WET ZONE,LOW COUNTRY,Undulating & rolling,Red Yellow Podzolic & Low Humic Gley Soils,2800,"6.5260378, 80.0628297",80.0628297,6.5260378,Maha,Bg 369,104,75,Reproductive,Unconfirmed,Clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,Yes,74,23,30,76.66666667,2.466666667
36,Southern,Galle,WL1a,WET ZONE,LOW COUNTRY,"Rolling, undulating & hilly","Red Yellow Podzolic, Red Yellow Podzolic with semi prominent A1 horizon & Low Humic Gley soils",3200,"6.2829588, 80.1538558",80.1538558,6.2829588,Maha,At 362,110,90,Reproductive,Suseptible,Clay,Irrigated,Minor irrigation,Flat land,No,Direct seeded,Yes,18,10,30,33.33333333,0.6
37,Southern,Galle,WL1a,WET ZONE,LOW COUNTRY,"Rolling, undulating & hilly","Red Yellow Podzolic, Red Yellow Podzolic with semi prominent A1 horizon & Low Humic Gley soils",3200,"6.2969053, 80.1718165",80.1718165,6.2969053,Maha,At 362,110,60,Reproductive,Suseptible,Sand mixed clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,No,39,19,30,63.33333333,1.3
38,North Western,Kurunegala,IL1a,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"7.4794100, 80.0439980",80.043998,7.47941,Maha,Bg 358,105,90,Reproductive,Unconfirmed,Sand mixed clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,No,146,16,30,53.33333333,4.866666667
39.1,Nothern,Vavuniya,DL1b,DRY ZONE,LOW COUNTRY,Undulating,Reddish Brown Earth & Low Humic Gley Soils,900,"8.6731260, 80.3898640",80.389864,8.673126,Maha,Bg 300,93,60,Reproductive,Unconfirmed,NA,Irrigated,Minor irrigation,Flat land,No,Direct seeded,Yes,0,0,30,0,0
39.2,Nothern,Vavuniya,DL1b,DRY ZONE,LOW COUNTRY,Undulating,Reddish Brown Earth & Low Humic Gley Soils,900,"8.6731260, 80.3898640",80.389864,8.673126,Maha,Bg 360,106,60,Reproductive,Suseptible,NA,Irrigated,Minor irrigation,Flat land,No,Direct seeded,Yes,0,0,30,0,0
40,Central,Matale,DL1b,DRY ZONE,LOW COUNTRY,Undulating,Reddish Brown Earth & Low Humic Gley Soils,900,"7.8669827, 80.6503263",80.6503263,7.8669827,Maha,Bg 352,102,45,Vegetative,Suseptible,Sand mixed clay,Irrigated,Minor irrigation,Flat land,Yes,Direct seeded,No,29,11,30,36.66666667,0.966666667
44,Southern,Hambantota,IL1b,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RYP, RBL, RBE, LHG & Regosol soils",1100,"5.9889260, 80.7191397",80.7191397,5.988926,Maha,At 362,110,66,Reproductive,Suseptible,Clay,Irrigated,Minor irrigation,Flat land,No,Direct seeded,Yes,258,30,30,100,8.6
48,Western,Gampaha,WL3,WET ZONE,LOW COUNTRY,Rolling & Undulating,"Red Yellow Podzolic soils with soft and hard laterite, LHG & Regosol soils",1700,"7.0271960, 79.9890870",79.989087,7.027196,Maha,Bg 41,NA,NA,NA,NA,Clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,No,336,20,30,66.66666667,11.2
49,Western,Gampaha,WL3,WET ZONE,LOW COUNTRY,Rolling & Undulating,"Red Yellow Podzolic soils with soft and hard laterite, LHG & Regosol soils",1700,"7.0420120, 79.9971190",79.997119,7.042012,Maha,Bg 304,89,89,Ripening,Unconfirmed,Clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,Yes,4,2,30,6.666666667,0.133333333
50,Western,Gampaha,WL3,WET ZONE,LOW COUNTRY,Rolling & Undulating,"Red Yellow Podzolic soils with soft and hard laterite, LHG & Regosol soils",1700,"7.0160442, 79.9724432",79.9724432,7.0160442,Maha,Bg 366,100,100,Ripening,Suseptible,Clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,No,36,15,30,50,1.2
51,North Central,Anuradhapura,DL1b,DRY ZONE,LOW COUNTRY,Undulating,Reddish Brown Earth & Low Humic Gley Soils,900,"8.1687027, 80.5419694",80.5419694,8.1687027,Maha,Bg 300,93,93,Ripening,Unconfirmed,Sand mixed clay,Irrigated,Major irrigation,Flat land,No,Direct seeded,No,186,26,30,86.66666667,6.2
52,North Western,Puttlam,DL1b,DRY ZONE,LOW COUNTRY,Undulating,Reddish Brown Earth & Low Humic Gley Soils,900,"7.8750342, 79.9918246",79.9918246,7.8750342,Maha,Bg 374,108,108,Ripeneing,Unconfirmed,Sand mixed clay,Rainfed lowland,Rainfed,Flat land,No,Direct seeded,No,0,0,30,0,0
76,Southern,Matara,IL1a,INTERMEDIATE ZONE,LOW COUNTRY,"Rolling, Undulating, Flat","RYP, soilswith strongly molted sub-soil, RYP,LHG,RBL & Regosol",1400,"6.0068420, 80.5174440",80.517444,6.006842,Maha /Yala,At 362,110,14,Seedling,Suseptible,Clay,Rainfed lowland,Rainfed,Flat land,Yes,Direct seeded,No,18,5,30,16.66666667,0.6
77,Central,Kandy,WM2b,WET ZONE,MID COUNTRY,"Steeply dissected, hilly & rolling","Reddish Brown Latosolic (RBL), Immature Brown Loam(IBL), Low Humic Gley & Red Yellow Podzolic soils",1800,"7.280167, 80.591194",80.591194,7.280167,Maha/Yala,BG 374,105,45,Vegetative,Suseptible,Sand mixed clay,Rainfed Midland,Rainfed,Flat land,Yes,Replanting,Yes,121,3,30,10,4.033333333
83,Southern,Hambantota,DL5,DRY ZONE,LOW COUNTRY,Undulating & flat,"RBE with high ammount od grawel in sub- soil, LHG & Solodized - solonets soils",650,"6.2304000, 81.2275150",81.227515,6.2304,Yala/Maha,At 362,110,95,Reproductive,Suseptible,Clay,Irrigated,Major irrigation,Flat land,No,Direct seeded,No,318,28,30,93.33333333,10.6
