"serial_no","climatic_z","agro_eco_z","terrain","anual_r_fmm","rice_variety","stage_of_maturity","soil_type","rice_ecosystem","topography","flooded_y_n","method_of_planting","is_the_farmer_aware_of_mg_before","rep_no","gall_count","infection_status","infection_status_bin"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",6,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",7,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",8,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",9,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",10,5,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",11,2,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",12,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",13,1,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",14,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",15,1,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",16,125,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",17,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",18,8,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",19,5,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",20,6,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",21,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",22,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",23,1,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",24,3,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",25,10,"Yes","1"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",26,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",27,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",28,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",29,0,"No","0"
"1","INTERMEDIATE ZONE","LOW COUNTRY","Rolling, Undulating, Flat",1400,"At 362","Reproductive","Sand mixed clay","Rainfed lowland","Flat land","Yes","Direct seeded","Yes",30,0,"No","0"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",1,4,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",2,2,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",3,10,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",4,16,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",5,12,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",6,10,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",7,7,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",8,0,"No","0"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",9,1,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",10,1,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",11,18,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",12,6,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",13,0,"No","0"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",14,2,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",15,1,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",16,2,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",17,2,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",18,0,"No","0"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",19,0,"No","0"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",20,1,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",21,2,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",22,1,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",23,2,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",24,7,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",25,1,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",26,0,"No","0"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",27,5,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",28,1,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",29,5,"Yes","1"
"2","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",30,0,"No","0"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",1,23,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",2,21,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",3,6,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",4,19,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",5,0,"No","0"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",6,6,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",7,2,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",8,0,"No","0"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",9,4,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",10,18,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",11,8,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",12,0,"No","0"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",13,1,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",14,2,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",15,5,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",16,6,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",17,5,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",18,7,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",19,7,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",20,15,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",21,31,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",22,2,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",23,18,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",24,0,"No","0"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",25,5,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",26,3,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",27,0,"No","0"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",28,0,"No","0"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",29,1,"Yes","1"
"3","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Reproductive","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",30,8,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",1,25,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",2,0,"No","0"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",3,6,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",4,0,"No","0"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",5,5,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",6,10,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",7,0,"No","0"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",8,0,"No","0"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",9,1,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",10,2,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",11,119,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",12,2,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",13,0,"No","0"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",14,0,"No","0"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",15,28,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",16,1,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",17,8,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",18,24,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",19,18,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",20,0,"No","0"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",21,2,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",22,0,"No","0"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",23,11,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",24,113,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",25,78,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",26,5,"Yes","1"
"4","WET ZONE","LOW COUNTRY","Rolling, Undulating, Flat",2400,"At 362","Vegetative","Clay","Rainfed lowland","Flat land","No","Direct seeded","No",27,4,"Yes","1"
